injected,truth
5.5,5.5
5.5,5.5
5.5,5.5
5.75,5.75
5.75,5.75
5.63,5.63
5.63,5.63
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
5.75,5.75
59.96,5.75
36.948,5.75
5.88,5.88
6.32,6.0
6.0,6.0
6.25,6.25
6.5,6.5
6.88,6.88
7.38,7.38
7.5,7.5
7.5,7.5
77.242,7.5
7.5,7.5
7.5,7.5
7.25,7.25
7.25,7.25
7.0,7.0
7.0,7.0
6.25,6.25
6.25,6.25
60.872,6.5
6.5,6.5
6.63,6.63
6.63,6.63
6.63,6.63
6.5,6.5
6.5,6.5
6.5,6.5
6.63,6.63
49.896,6.63
6.38,6.38
65.033,6.38
6.38,6.38
6.38,6.38
6.5,6.5
6.5,6.5
45.843,6.5
42.849,6.5
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.5,6.5
6.38,6.38
6.38,6.38
6.38,6.38
6.5,6.5
6.5,6.5
6.38,6.38
22.607,6.38
6.5,6.5
6.5,6.5
6.5,6.5
50.229,6.5
6.63,6.63
6.63,6.63
73.525,6.63
6.63,6.63
6.63,6.63
13.849,6.63
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.63,6.63
6.63,6.63
6.63,6.63
12.568,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
42.711,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
24.521,6.75
6.63,6.63
6.63,6.63
6.63,6.63
68.944,6.63
6.63,6.63
6.75,6.75
6.75,6.75
6.75,6.75
6.88,6.88
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
79.236,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.5,6.5
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
33.735,6.75
67.328,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
6.88,6.88
6.88,6.88
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
6.88,6.88
6.88,6.88
6.75,6.75
6.75,6.75
56.996,6.75
6.63,6.63
12.684,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
6.88,6.88
6.88,6.88
6.88,6.88
18.666,6.88
6.75,6.75
67.654,6.75
6.63,6.63
6.63,6.63
6.75,6.75
6.63,6.63
16.587,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
6.75,6.75
6.75,6.75
6.63,6.63
6.63,6.63
6.63,6.63
16.646,6.63
6.63,6.63
70.621,6.63
6.5,6.5
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.5,6.5
6.5,6.5
20.779,6.5
6.5,6.5
6.5,6.5
12.197,6.5
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.38,6.38
6.5,6.5
13.592,6.63
6.5,6.5
6.38,6.38
6.38,6.38
52.642,6.38
6.5,6.5
6.5,6.5
6.63,6.63
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.63,6.63
6.63,6.63
6.88,6.88
6.75,6.75
6.75,6.75
6.75,6.75
6.88,6.88
6.88,6.88
6.5,6.5
6.5,6.5
6.5,6.5
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
6.75,6.75
6.88,6.88
6.88,6.88
6.88,6.88
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.5,7.5
7.75,7.75
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
8.0,8.0
8.0,8.0
8.0,8.0
8.13,8.13
8.13,8.13
8.25,8.25
80.046,8.25
8.5,8.5
8.5,8.5
8.63,8.63
8.63,8.63
8.63,8.63
8.63,8.63
8.63,8.63
8.63,8.63
8.5,8.5
8.38,8.38
8.0,8.0
8.0,8.0
7.5,7.5
7.5,7.5
7.38,7.38
7.25,7.25
7.13,7.13
7.13,7.13
38.215,7.13
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
36.5,6.88
6.88,6.88
6.88,6.88
6.88,6.88
6.75,6.75
22.474,6.75
48.337,6.75
6.75,6.75
6.75,6.75
6.75,6.75
45.119,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.63,6.63
6.75,6.75
6.75,6.75
49.2,6.75
6.75,6.75
6.88,6.88
6.88,6.88
16.736,6.88
6.75,6.75
6.88,6.88
6.88,6.88
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.63,6.63
6.63,6.63
6.63,6.63
6.63,6.63
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
69.848,6.75
6.75,6.75
6.75,6.75
6.63,6.63
6.63,6.63
6.75,6.75
6.75,6.75
44.424,6.75
6.75,6.75
6.75,6.75
6.75,6.75
16.968,6.63
6.63,6.63
42.934,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
6.75,6.75
43.488,6.63
6.63,6.63
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.5,6.5
6.63,6.63
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.38,6.38
26.932,6.38
6.5,6.5
6.5,6.5
6.5,6.5
6.38,6.38
6.38,6.38
6.63,6.63
6.75,6.75
6.75,6.75
6.75,6.75
6.88,6.88
6.88,6.88
6.88,6.88
6.88,6.88
7.0,7.0
7.0,7.0
7.0,7.0
7.0,7.0
7.13,7.13
7.13,7.13
7.13,7.13
7.25,7.25
7.38,7.38
7.5,7.5
7.5,7.5
7.5,7.5
7.5,7.5
7.63,7.63
7.88,7.88
8.0,8.0
8.13,8.13
8.13,8.13
8.25,8.25
8.13,8.13
8.0,8.0
19.143,8.0
7.88,7.88
7.88,7.88
7.88,7.88
8.0,8.0
8.25,8.25
8.25,8.25
8.25,8.25
8.25,8.25
8.13,8.13
15.441,8.25
8.25,8.25
8.25,8.25
8.0,8.0
8.13,8.13
8.13,8.13
8.25,8.25
41.695,8.25
64.594,8.25
8.13,8.13
8.13,8.13
35.866,7.75
7.75,7.75
7.75,7.75
77.729,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.88,7.88
7.75,7.75
7.75,7.75
7.75,7.75
7.75,7.75
7.75,7.75
43.584,7.63
7.63,7.63
7.63,7.63
7.5,7.5
64.368,7.5
7.5,7.5
7.75,7.75
8.13,8.13
71.118,8.25
80.312,8.25
69.878,8.25
8.25,8.25
8.25,8.25
8.25,8.25
8.25,8.25
8.25,8.25
8.25,8.25
8.38,8.38
8.38,8.38
8.38,8.38
8.38,8.38
8.5,8.5
8.63,8.63
19.84,8.75
8.63,8.63
8.63,8.63
82.106,8.63
8.5,8.5
8.5,8.5
8.38,8.38
8.5,8.5
8.63,8.63
8.63,8.63
8.5,8.5
39.617,8.5
8.5,8.5
8.5,8.5
8.5,8.5
8.38,8.38
8.38,8.38
8.38,8.38
8.5,8.5
8.5,8.5
8.25,8.25
8.0,8.0
8.0,8.0
8.13,8.13
8.13,8.13
8.25,8.25
8.25,8.25
8.38,8.38
8.38,8.38
8.38,8.38
8.38,8.38
8.38,8.38
8.5,8.5
8.75,8.75
9.0,9.0
9.13,9.13
9.25,9.25
9.25,9.25
9.13,9.13
9.13,9.13
9.13,9.13
9.38,9.38
9.63,9.63
9.63,9.63
9.75,9.75
9.75,9.75
9.63,9.63
9.75,9.75
9.88,9.88
9.88,9.88
10.0,10.0
10.5,10.5
10.75,10.75
10.75,10.75
10.88,10.88
10.88,10.88
10.88,10.88
11.13,11.13
11.13,11.13
11.13,11.13
11.25,11.25
11.38,11.38
11.63,11.63
11.75,11.75
11.75,11.75
12.13,12.13
43.936,12.13
12.13,12.13
12.25,12.25
12.13,12.13
12.13,12.13
11.63,11.63
46.765,10.13
10.13,10.13
10.0,10.0
10.0,10.0
10.25,10.25
10.13,10.13
10.13,10.13
10.25,10.25
10.38,10.38
10.63,10.63
71.346,11.25
11.25,11.25
11.25,11.25
11.25,11.25
12.13,12.13
35.964,12.13
12.0,12.0
12.0,12.0
11.88,11.88
11.88,11.88
11.63,11.63
11.5,11.5
11.5,11.5
11.63,11.63
11.63,11.63
11.63,11.63
68.862,11.5
11.13,11.13
11.0,11.0
11.0,11.0
11.0,11.0
11.0,11.0
10.88,10.88
10.88,10.88
11.0,11.0
11.0,11.0
11.0,11.0
11.5,11.5
11.5,11.5
11.38,11.38
11.0,11.0
11.0,11.0
11.25,11.25
76.124,11.25
11.25,11.25
11.25,11.25
11.25,11.25
11.25,11.25
11.13,11.13
11.13,11.13
11.25,11.25
11.13,11.13
11.13,11.13
11.0,11.0
11.0,11.0
11.0,11.0
11.13,11.13
11.0,11.0
11.0,11.0
11.0,11.0
11.0,11.0
11.13,11.13
11.25,11.25
11.25,11.25
11.13,11.13
11.13,11.13
11.13,11.13
11.25,11.25
11.25,11.25
11.38,11.38
11.38,11.38
22.493,11.38
11.38,11.38
11.5,11.5
11.5,11.5
11.5,11.5
11.38,11.38
11.5,11.5
11.5,11.5
11.63,11.63
11.75,11.75
11.75,11.75
11.75,11.75
11.75,11.75
11.63,11.63
11.63,11.63
11.5,11.5
12.0,12.0
64.908,12.0
12.13,12.13
12.13,12.13
38.479,12.25
12.63,12.63
12.88,12.88
13.13,13.13
13.13,13.13
13.38,13.38
13.38,13.38
13.38,13.38
13.5,13.5
13.63,13.63
13.75,13.75
13.75,13.75
13.75,13.75
14.0,14.0
14.25,14.25
11.634,14.38
14.38,14.38
14.63,14.63
14.63,14.63
14.38,14.38
14.38,14.38
14.0,14.0
14.0,14.0
14.0,14.0
14.0,14.0
13.88,13.88
13.88,13.88
13.5,13.5
13.38,13.38
12.63,12.63
12.25,12.25
13.081,12.0
12.13,12.13
12.38,12.38
12.38,12.38
12.5,12.5
12.63,12.63
12.63,12.63
12.63,12.63
12.63,12.63
12.75,12.75
12.88,12.88
13.0,13.0
13.0,13.0
13.13,13.13
13.13,13.13
13.13,13.13
13.13,13.13
13.13,13.13
13.38,13.38
13.38,13.38
13.38,13.38
13.38,13.38
13.25,13.25
13.13,13.13
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
12.88,12.88
12.88,12.88
12.63,12.63
12.75,12.75
12.88,12.88
12.75,12.75
12.75,12.75
12.75,12.75
12.88,12.88
12.88,12.88
12.75,12.75
13.0,13.0
13.0,13.0
13.0,13.0
12.88,12.88
12.88,12.88
12.88,12.88
12.88,12.88
12.88,12.88
12.88,12.88
64.98,12.88
15.141,12.75
12.75,12.75
12.63,12.63
12.5,12.5
5.955,12.25
12.13,12.13
12.13,12.13
11.63,11.63
11.63,11.63
11.5,11.5
11.5,11.5
11.5,11.5
12.0,12.0
11.808,12.38
12.5,12.5
12.63,12.63
12.63,12.63
12.63,12.63
12.63,12.63
12.5,12.5
12.5,12.5
12.38,12.38
12.63,12.63
12.63,12.63
12.63,12.63
63.718,12.63
12.63,12.63
12.5,12.5
12.5,12.5
68.68,12.5
12.5,12.5
12.63,12.63
12.63,12.63
12.38,12.38
12.38,12.38
12.38,12.38
25.613,12.25
12.25,12.25
12.25,12.25
12.38,12.38
12.38,12.38
12.88,12.88
13.0,13.0
68.389,13.38
13.38,13.38
13.38,13.38
13.63,13.63
13.75,13.75
14.0,14.0
14.13,14.13
14.25,14.25
14.38,14.38
14.5,14.5
14.63,14.63
14.75,14.75
15.38,15.38
15.38,15.38
15.25,15.25
10.043,15.13
14.88,14.88
14.88,14.88
14.75,14.75
14.5,14.5
14.5,14.5
14.5,14.5
45.393,14.5
14.38,14.38
68.246,14.38
14.38,14.38
14.38,14.38
50.529,14.38
14.38,14.38
14.25,14.25
14.25,14.25
14.25,14.25
14.25,14.25
14.13,14.13
14.13,14.13
14.13,14.13
13.88,13.88
13.88,13.88
13.5,13.5
50.73,13.63
13.75,13.75
13.63,13.63
67.595,13.63
13.5,13.5
13.5,13.5
13.38,13.38
13.38,13.38
13.63,13.63
13.75,13.75
13.75,13.75
13.88,13.88
14.0,14.0
64.746,14.0
14.0,14.0
14.0,14.0
14.0,14.0
14.0,14.0
14.25,14.25
14.25,14.25
14.38,14.38
14.5,14.5
14.38,14.38
14.38,14.38
14.38,14.38
14.38,14.38
14.38,14.38
14.38,14.38
14.38,14.38
14.38,14.38
14.5,14.5
14.63,14.63
14.75,14.75
14.88,14.88
15.0,15.0
15.0,15.0
15.0,15.0
15.0,15.0
15.0,15.0
15.0,15.0
15.13,15.13
29.639,15.25
15.13,15.13
15.13,15.13
15.13,15.13
15.13,15.13
15.13,15.13
15.0,15.0
15.13,15.13
15.25,15.25
15.25,15.25
15.25,15.25
15.25,15.25
15.38,15.38
15.38,15.38
15.38,15.38
61.394,15.38
15.5,15.5
15.38,15.38
18.63,15.38
15.38,15.38
15.5,15.5
15.75,15.75
15.88,15.88
15.88,15.88
16.0,16.0
16.12,16.12
16.37,16.37
16.37,16.37
16.5,16.5
16.5,16.5
66.941,16.25
28.246,16.25
16.12,16.12
16.12,16.12
16.12,16.12
16.12,16.12
16.12,16.12
16.12,16.12
16.12,16.12
16.25,16.25
16.25,16.25
16.5,16.5
16.5,16.5
16.5,16.5
16.62,16.62
34.042,16.5
76.606,16.37
16.62,16.62
16.75,16.75
16.87,16.87
59.723,17.37
17.37,17.37
17.12,17.12
17.12,17.12
17.12,17.12
17.12,17.12
17.25,17.25
17.25,17.25
17.25,17.25
17.12,17.12
17.12,17.12
17.0,17.0
17.0,17.0
17.0,17.0
16.75,16.75
16.5,16.5
16.5,16.5
16.5,16.5
16.62,16.62
16.5,16.5
29.447,16.5
16.5,16.5
16.5,16.5
63.379,16.37
16.0,16.0
16.12,16.12
16.12,16.12
16.12,16.12
16.12,16.12
15.88,15.88
15.5,15.5
15.0,15.0
14.88,14.88
14.88,14.88
15.25,15.25
16.0,16.0
16.37,16.37
16.37,16.37
16.37,16.37
16.37,16.37
16.5,16.5
16.62,16.62
17.0,17.0
16.87,16.87
16.87,16.87
8.397,17.25
17.5,17.5
17.5,17.5
16.87,16.87
16.75,16.75
16.62,16.62
16.62,16.62
16.37,16.37
16.62,16.62
16.87,16.87
16.87,16.87
16.75,16.75
17.12,17.12
17.12,17.12
17.25,17.25
17.25,17.25
17.5,17.5
17.75,17.75
17.87,17.87
17.87,17.87
18.0,18.0
18.12,18.12
18.37,18.37
18.5,18.5
18.62,18.62
18.87,18.87
19.0,19.0
19.37,19.37
19.5,19.5
19.75,19.75
19.75,19.75
19.62,19.62
19.87,19.87
19.87,19.87
19.87,19.87
19.75,19.75
19.75,19.75
19.75,19.75
20.0,20.0
20.0,20.0
20.0,20.0
20.12,20.12
20.0,20.0
20.0,20.0
19.87,19.87
19.62,19.62
19.75,19.75
19.87,19.87
20.25,20.25
20.37,20.37
20.37,20.37
27.572,20.75
20.87,20.87
49.999,21.12
21.12,21.12
21.12,21.12
22.0,22.0
23.25,23.25
23.0,23.0
22.62,22.62
22.75,22.75
81.55,23.0
23.25,23.25
23.5,23.5
23.5,23.5
23.0,23.0
23.0,23.0
23.75,23.75
24.12,24.12
67.42,25.37
26.62,26.62
27.0,27.0
27.0,27.0
26.75,26.75
26.75,26.75
26.87,26.87
26.87,26.87
5.502,26.75
26.87,26.87
27.0,27.0
27.0,27.0
26.87,26.87
26.87,26.87
27.0,27.0
13.489,27.0
26.75,26.75
26.62,26.62
25.37,25.37
25.37,25.37
24.62,24.62
24.62,24.62
24.75,24.75
24.75,24.75
25.37,25.37
26.0,26.0
26.12,26.12
26.12,26.12
82.588,26.5
71.097,26.25
16.096,26.25
26.25,26.25
26.25,26.25
26.25,26.25
26.12,26.12
26.62,26.62
13.58,26.62
26.62,26.62
26.62,26.62
26.62,26.62
26.5,26.5
26.37,26.37
26.37,26.37
26.37,26.37
26.0,26.0
26.37,26.37
26.62,26.62
26.5,26.5
26.12,26.12
26.25,26.25
26.25,26.25
73.03,26.25
26.37,26.37
26.25,26.25
81.909,26.25
26.25,26.25
26.37,26.37
26.37,26.37
26.37,26.37
26.25,26.25
26.25,26.25
26.25,26.25
26.25,26.25
26.25,26.25
82.575,26.12
26.12,26.12
26.0,26.0
26.0,26.0
26.0,26.0
71.07,26.0
26.25,26.25
26.25,26.25
26.12,26.12
26.12,26.12
26.12,26.12
26.37,26.37
26.5,26.5
26.5,26.5
26.75,26.75
26.87,26.87
27.0,27.0
27.0,27.0
20.605,27.25
27.25,27.25
27.25,27.25
27.25,27.25
38.76,27.12
27.12,27.12
27.12,27.12
27.12,27.12
27.25,27.25
27.25,27.25
27.12,27.12
27.25,27.25
27.37,27.37
27.5,27.5
27.87,27.87
28.25,28.25
28.75,28.75
28.75,28.75
28.75,28.75
28.75,28.75
28.75,28.75
29.75,29.75
31.0,31.0
31.75,31.75
31.87,31.87
30.87,30.87
29.62,29.62
29.75,29.75
29.75,29.75
29.75,29.75
29.75,29.75
29.75,29.75
28.87,28.87
28.87,28.87
28.87,28.87
28.87,28.87
28.62,28.62
28.5,28.5
27.62,27.62
27.62,27.62
27.62,27.62
27.5,27.5
27.5,27.5
27.62,27.62
27.62,27.62
27.37,27.37
27.12,27.12
27.12,27.12
27.12,27.12
27.12,27.12
26.75,26.75
26.62,26.62
26.5,26.5
26.37,26.37
81.515,26.12
26.0,26.0
25.5,25.5
25.5,25.5
9.962,25.37
25.37,25.37
25.37,25.37
50.625,26.62
27.12,27.12
28.0,28.0
59.495,28.0
56.363,27.87
27.75,27.75
27.87,27.87
27.87,27.87
27.75,27.75
33.154,27.75
27.75,27.75
27.62,27.62
27.62,27.62
27.75,27.75
27.75,27.75
27.75,27.75
27.87,27.87
27.87,27.87
27.87,27.87
28.0,28.0
27.87,27.87
71.365,27.62
27.62,27.62
27.62,27.62
27.62,27.62
27.62,27.62
27.62,27.62
27.62,27.62
27.5,27.5
27.5,27.5
27.37,27.37
27.37,27.37
27.25,27.25
27.12,27.12
27.0,27.0
27.0,27.0
26.75,26.75
26.75,26.75
26.5,26.5
25.75,25.75
25.5,25.5
24.5,24.5
24.37,24.37
55.109,23.37
23.25,23.25
22.87,22.87
22.87,22.87
22.62,22.62
22.75,22.75
22.75,22.75
22.75,22.75
22.75,22.75
27.676,22.5
22.25,22.25
22.25,22.25
22.25,22.25
22.62,22.62
22.87,22.87
22.87,22.87
22.87,22.87
22.87,22.87
22.87,22.87
52.743,23.25
23.37,23.37
23.5,23.5
23.75,23.75
24.12,24.12
25.12,25.12
25.37,25.37
25.5,25.5
25.25,25.25
25.12,25.12
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
54.785,25.0
25.0,25.0
25.0,25.0
16.808,25.0
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
80.72,24.5
24.25,24.25
24.25,24.25
17.436,24.25
28.003,24.12
24.0,24.0
59.119,24.0
23.87,23.87
23.62,23.62
23.25,23.25
23.5,23.5
80.544,23.75
23.87,23.87
24.25,24.25
24.25,24.25
24.25,24.25
24.0,24.0
24.0,24.0
24.12,24.12
24.25,24.25
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
24.62,24.62
24.0,24.0
24.0,24.0
24.0,24.0
24.25,24.25
24.87,24.87
24.62,24.62
24.37,24.37
24.37,24.37
24.25,24.25
24.12,24.12
23.75,23.75
23.75,23.75
23.62,23.62
23.5,23.5
35.627,23.5
23.5,23.5
23.5,23.5
23.75,23.75
24.0,24.0
24.0,24.0
24.0,24.0
24.0,24.0
23.75,23.75
23.75,23.75
23.5,23.5
24.0,24.0
42.267,24.25
24.25,24.25
24.75,24.75
24.75,24.75
24.75,24.75
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
24.87,24.87
71.85,24.87
24.87,24.87
24.87,24.87
25.12,25.12
25.12,25.12
25.0,25.0
24.87,24.87
24.87,24.87
43.775,25.0
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
24.62,24.62
24.5,24.5
24.37,24.37
24.37,24.37
12.461,24.37
24.37,24.37
24.37,24.37
22.648,24.37
24.37,24.37
24.37,24.37
24.25,24.25
24.25,24.25
24.5,24.5
24.5,24.5
24.75,24.75
22.812,24.75
24.75,24.75
24.75,24.75
24.62,24.62
24.62,24.62
24.62,24.62
24.87,24.87
24.75,24.75
24.75,24.75
24.75,24.75
24.75,24.75
25.12,25.12
25.12,25.12
25.5,25.5
25.5,25.5
25.5,25.5
25.5,25.5
25.5,25.5
25.5,25.5
25.5,25.5
25.75,25.75
25.75,25.75
18.951,25.75
25.62,25.62
25.62,25.62
60.981,25.0
23.75,23.75
23.37,23.37
21.5,21.5
20.75,20.75
20.75,20.75
20.5,20.5
19.62,19.62
19.0,19.0
18.87,18.87
18.87,18.87
18.12,18.12
18.5,18.5
18.62,18.62
18.62,18.62
19.0,19.0
20.62,20.62
20.75,20.75
20.87,20.87
20.87,20.87
21.25,21.25
21.5,21.5
22.25,22.25
8.521,22.37
22.37,22.37
22.37,22.37
22.25,22.25
22.0,22.0
22.37,22.37
54.565,22.37
21.62,21.62
21.62,21.62
21.62,21.62
21.62,21.62
22.0,22.0
22.0,22.0
22.0,22.0
22.0,22.0
22.0,22.0
21.62,21.62
21.5,21.5
21.25,21.25
20.75,20.75
20.37,20.37
20.37,20.37
65.916,20.37
20.75,20.75
20.75,20.75
20.62,20.62
20.62,20.62
20.37,20.37
20.37,20.37
20.37,20.37
20.37,20.37
20.37,20.37
20.37,20.37
20.12,20.12
20.12,20.12
20.0,20.0
20.0,20.0
20.12,20.12
20.12,20.12
19.87,19.87
19.87,19.87
50.468,19.62
19.62,19.62
19.37,19.37
19.12,19.12
19.12,19.12
19.12,19.12
19.12,19.12
19.37,19.37
57.814,19.37
19.37,19.37
19.37,19.37
19.37,19.37
19.25,19.25
19.25,19.25
19.25,19.25
19.25,19.25
19.12,19.12
18.75,18.75
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.0,19.0
19.37,19.37
19.62,19.62
19.75,19.75
19.75,19.75
19.62,19.62
19.62,19.62
19.62,19.62
19.62,19.62
19.62,19.62
41.499,19.75
19.5,19.5
19.5,19.5
19.5,19.5
19.37,19.37
26.725,19.5
19.5,19.5
19.75,19.75
19.75,19.75
19.75,19.75
66.709,19.75
20.12,20.12
20.12,20.12
20.12,20.12
20.12,20.12
19.87,19.87
19.75,19.75
19.5,19.5
19.5,19.5
19.37,19.37
19.25,19.25
19.25,19.25
19.25,19.25
19.0,19.0
19.0,19.0
19.0,19.0
18.87,18.87
58.755,18.62
18.25,18.25
18.0,18.0
18.0,18.0
17.5,17.5
17.0,17.0
16.75,16.75
16.75,16.75
16.62,16.62
16.5,16.5
14.575,16.37
16.37,16.37
16.5,16.5
16.5,16.5
16.37,16.37
16.37,16.37
16.37,16.37
16.37,16.37
16.37,16.37
16.12,16.12
15.88,15.88
15.75,15.75
15.75,15.75
15.75,15.75
15.5,15.5
15.25,15.25
15.0,15.0
14.88,14.88
52.087,15.0
15.0,15.0
14.25,14.25
14.0,14.0
13.88,13.88
13.75,13.75
55.466,13.75
33.437,13.63
13.75,13.75
14.38,14.38
14.38,14.38
14.5,14.5
15.13,15.13
15.13,15.13
15.38,15.38
20.69,16.0
16.87,16.87
17.0,17.0
17.0,17.0
17.25,17.25
16.37,16.37
15.75,15.75
15.38,15.38
