t,truth0.0025,injected0.0025,truth0.005,injected0.005,truth0.01,injected0.01,truth0.02,injected0.02,truth0.05,injected0.05,truth0.1,injected0.1,truth0.15,injected0.15,truth0.2,injected0.2
16,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,-2.218429262379383,0.859677,-2.218429262379383
17,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,0.825488,0.825488,0.825488,0.825488,0.825488
18,0.94515,nan,0.94515,nan,0.94515,nan,0.94515,nan,0.94515,nan,0.94515,-1.969823958718973,0.94515,-1.969823958718973,0.94515,-1.969823958718973
19,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997
20,0.05623089999999997,nan,0.05623089999999997,nan,0.05623089999999997,nan,0.05623089999999997,nan,0.05623089999999997,nan,0.05623089999999997,nan,0.05623089999999997,-2.8895391941567343,0.05623089999999997,-2.8895391941567343
21,0.688731,nan,0.688731,nan,0.688731,nan,0.688731,nan,0.688731,nan,0.688731,nan,0.688731,0.688731,0.688731,0.688731
22,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan,0.928055,nan
23,0.808393,nan,0.808393,nan,0.808393,nan,0.808393,nan,0.808393,nan,0.808393,nan,0.808393,0.808393,0.808393,0.808393
24,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,-3.041463658142836,0.07332549999999999,-3.041463658142836
25,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,0.004947130000000022,0.004947130000000022,0.004947130000000022
26,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan
27,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan
28,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan
29,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997,0.12460899999999997
30,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,-2.511172079709196,0.398123,-2.511172079709196,0.398123,-2.511172079709196
31,0.415217,nan,0.415217,nan,0.415217,nan,0.415217,nan,0.415217,nan,0.415217,0.415217,0.415217,0.415217,0.415217,0.415217
32,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan
33,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan,1.4921799999999998,nan
34,2.89393,nan,2.89393,nan,2.89393,nan,2.89393,nan,2.89393,nan,2.89393,nan,2.89393,2.89393,2.89393,2.89393
35,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,5.99140202856777,3.09907,5.99140202856777
36,3.15035,nan,3.15035,nan,3.15035,nan,3.15035,nan,3.15035,nan,3.15035,nan,3.15035,3.15035,3.15035,3.15035
37,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan
38,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,2.39819,2.39819,2.39819,2.39819,2.39819
39,1.9537299999999997,nan,1.9537299999999997,nan,1.9537299999999997,nan,1.9537299999999997,nan,1.9537299999999997,nan,1.9537299999999997,-0.9416218951372323,1.9537299999999997,-0.9416218951372323,1.9537299999999997,-0.9416218951372323
40,1.6973099999999999,nan,1.6973099999999999,nan,1.6973099999999999,nan,1.6973099999999999,nan,1.6973099999999999,nan,1.6973099999999999,4.695695351332232,1.6973099999999999,4.695695351332232,1.6973099999999999,4.695695351332232
41,1.25285,nan,1.25285,nan,1.25285,nan,1.25285,nan,1.25285,nan,1.25285,1.25285,1.25285,1.25285,1.25285,1.25285
42,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan
43,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan
44,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan
45,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan
46,1.32123,nan,1.32123,nan,1.32123,nan,1.32123,nan,1.32123,nan,1.32123,nan,1.32123,nan,1.32123,nan
47,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan
48,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan,-0.06343120000000002,nan
49,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan,0.004947130000000022,nan
50,0.31265,nan,0.31265,nan,0.31265,nan,0.31265,nan,0.31265,nan,0.31265,nan,0.31265,nan,0.31265,nan
51,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,nan,0.551974,0.551974
52,0.757109,nan,0.757109,nan,0.757109,nan,0.757109,nan,0.757109,nan,0.757109,nan,0.757109,nan,0.757109,3.8395172689326014
53,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,0.586163
54,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,0.654542,0.654542,0.654542,0.654542,0.654542
55,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,3.642225552988175,0.774204,3.642225552988175,0.774204,3.642225552988175
56,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,0.671636,0.671636,0.671636,0.671636,0.671636
57,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan
58,3.13326,nan,3.13326,nan,3.13326,nan,3.13326,nan,3.13326,nan,3.13326,nan,3.13326,nan,3.13326,nan
59,3.45805,nan,3.45805,nan,3.45805,nan,3.45805,nan,3.45805,nan,3.45805,nan,3.45805,3.45805,3.45805,3.45805
60,3.11616,nan,3.11616,nan,3.11616,nan,3.11616,nan,3.11616,nan,3.11616,nan,3.11616,0.07726190253707677,3.11616,0.07726190253707677
61,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,2.39819,2.39819,2.39819
62,2.12468,nan,2.12468,nan,2.12468,nan,2.12468,nan,2.12468,nan,2.12468,nan,2.12468,nan,2.12468,nan
63,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan,1.4750800000000002,nan
64,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan
65,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan
66,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan
67,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan
68,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,0.398123,0.398123,0.398123
69,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,nan,0.825488,3.8393859309154283,0.825488,3.8393859309154283
70,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,nan,1.099,1.099,1.099,1.099
71,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan
72,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan
73,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan
74,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan
75,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan,0.603258,nan
76,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan
77,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan
78,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,nan,0.244271,nan
79,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,0.17589299999999997
80,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,nan,0.654542,-2.444642601293867
81,1.4238,nan,1.4238,nan,1.4238,nan,1.4238,nan,1.4238,nan,1.4238,nan,1.4238,nan,1.4238,1.4238
82,2.91103,nan,2.91103,nan,2.91103,nan,2.91103,nan,2.91103,nan,2.91103,nan,2.91103,nan,2.91103,nan
83,3.52643,nan,3.52643,nan,3.52643,nan,3.52643,nan,3.52643,nan,3.52643,nan,3.52643,3.52643,3.52643,3.52643
84,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,nan,2.39819,-0.49254402107899253,2.39819,-0.49254402107899253
85,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,nan,2.27853,2.27853,2.27853,2.27853
86,2.41528,nan,2.41528,nan,2.41528,nan,2.41528,nan,2.41528,nan,2.41528,nan,2.41528,nan,2.41528,nan
87,1.64603,nan,1.64603,nan,1.64603,nan,1.64603,nan,1.64603,nan,1.64603,nan,1.64603,nan,1.64603,nan
88,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,1.16738,1.16738,1.16738,1.16738,1.16738
89,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,3.790992462155037,0.979339,3.790992462155037,0.979339,3.790992462155037
90,1.06481,nan,1.06481,nan,1.06481,nan,1.06481,nan,1.06481,nan,1.06481,1.06481,1.06481,1.06481,1.06481,1.06481
91,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan
92,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan
93,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,0.534879,0.534879,0.534879,0.534879,0.534879,0.534879,0.534879
94,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,3.771434052705498,0.791298,3.771434052705498,0.791298,3.771434052705498,0.791298,3.771434052705498
95,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,-1.9132628400566145,0.996433,-1.9132628400566145,0.996433,-1.9132628400566145,0.996433,-1.9132628400566145
96,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,nan,0.10751500000000003,0.10751500000000003,0.10751500000000003,0.10751500000000003,0.10751500000000003,0.10751500000000003,0.10751500000000003,0.10751500000000003
97,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan
98,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan,0.72292,nan
99,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,0.466501,0.466501,0.466501
100,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,nan,0.17589299999999997,-2.6653818716335036,0.17589299999999997,-2.6653818716335036
101,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,nan,0.141704,0.141704,0.141704,0.141704
102,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,0.210082,0.210082,0.210082,0.210082,0.210082
103,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,nan,0.12460899999999997,-2.8081607086224936,0.12460899999999997,-2.8081607086224936,0.12460899999999997,-2.8081607086224936
104,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,0.210082,0.210082,0.210082,0.210082,0.210082
105,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan
106,1.98792,nan,1.98792,nan,1.98792,nan,1.98792,nan,1.98792,nan,1.98792,nan,1.98792,nan,1.98792,nan
107,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan,3.09907,nan
108,2.97941,nan,2.97941,nan,2.97941,nan,2.97941,nan,2.97941,nan,2.97941,nan,2.97941,nan,2.97941,nan
109,3.03069,nan,3.03069,nan,3.03069,nan,3.03069,nan,3.03069,nan,3.03069,nan,3.03069,nan,3.03069,nan
110,2.09049,nan,2.09049,nan,2.09049,nan,2.09049,nan,2.09049,nan,2.09049,nan,2.09049,nan,2.09049,nan
111,2.22724,nan,2.22724,nan,2.22724,nan,2.22724,nan,2.22724,nan,2.22724,nan,2.22724,nan,2.22724,2.22724
112,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,4.732354802827353
113,1.20157,nan,1.20157,nan,1.20157,nan,1.20157,nan,1.20157,nan,1.20157,nan,1.20157,nan,1.20157,-1.6214730837298479
114,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,nan,0.979339,0.979339
115,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,0.192988,0.192988,0.192988,0.192988,0.192988
116,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,-2.65373385683777,0.192988,-2.65373385683777,0.192988,-2.65373385683777
117,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,-2.4595578234854303,0.483596,-2.4595578234854303,0.483596,-2.4595578234854303
118,0.705825,nan,0.705825,nan,0.705825,nan,0.705825,nan,0.705825,nan,0.705825,0.705825,0.705825,0.705825,0.705825,0.705825
119,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,3.4167837146778433,0.466501,3.4167837146778433
120,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,nan,0.192988,0.192988,0.192988,0.192988
121,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,nan,0.483596,0.483596
122,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,3.269449128721286
123,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,nan,1.04772,1.04772
124,0.962244,nan,0.962244,nan,0.962244,nan,0.962244,nan,0.962244,nan,0.962244,nan,0.962244,nan,0.962244,nan
125,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan,0.791298,nan
126,1.33833,nan,1.33833,nan,1.33833,nan,1.33833,nan,1.33833,nan,1.33833,nan,1.33833,nan,1.33833,nan
127,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan
128,1.21866,nan,1.21866,nan,1.21866,nan,1.21866,nan,1.21866,nan,1.21866,nan,1.21866,nan,1.21866,nan
129,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan,1.61184,nan
130,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,nan,2.72299,2.72299,2.72299,2.72299,2.72299,2.72299
131,3.04778,nan,3.04778,nan,3.04778,nan,3.04778,nan,3.04778,nan,3.04778,0.12293823789141883,3.04778,0.12293823789141883,3.04778,0.12293823789141883
132,3.35549,nan,3.35549,nan,3.35549,nan,3.35549,nan,3.35549,nan,3.35549,6.270244725046794,3.35549,6.270244725046794,3.35549,6.270244725046794
133,2.364,nan,2.364,nan,2.364,nan,2.364,nan,2.364,nan,2.364,2.364,2.364,2.364,2.364,2.364
134,2.21015,nan,2.21015,nan,2.21015,nan,2.21015,nan,2.21015,2.21015,2.21015,2.21015,2.21015,2.21015,2.21015,2.21015
135,2.50076,nan,2.50076,nan,2.50076,nan,2.50076,nan,2.50076,-0.4400258333370751,2.50076,-0.4400258333370751,2.50076,-0.4400258333370751,2.50076,-0.4400258333370751
136,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997
137,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,-1.4439701793992263,1.37251,-1.4439701793992263,1.37251,-1.4439701793992263
138,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,nan,1.13319,1.13319,1.13319,1.13319,1.13319,1.13319
139,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan
140,0.329744,nan,0.329744,nan,0.329744,nan,0.329744,nan,0.329744,nan,0.329744,nan,0.329744,nan,0.329744,nan
141,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan,0.671636,nan
142,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,nan,0.859677,0.859677,0.859677,0.859677
143,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,nan,0.620352,3.7854162094610793,0.620352,3.7854162094610793
144,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,nan,0.346839,0.346839,0.346839,0.346839
145,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan,0.398123,nan
146,0.740015,nan,0.740015,nan,0.740015,nan,0.740015,nan,0.740015,nan,0.740015,nan,0.740015,nan,0.740015,nan
147,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan,1.23576,nan
148,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,nan,1.16738,1.16738,1.16738,1.16738,1.16738,1.16738
149,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,nan,0.996433,0.996433,0.996433,3.9140094695997063,0.996433,3.9140094695997063,0.996433,3.9140094695997063
150,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,nan,0.586163,-2.4546199341131563,0.586163,-2.4546199341131563,0.586163,-2.4546199341131563,0.586163,-2.4546199341131563
151,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,nan,0.517785,0.517785,0.517785,0.517785,0.517785,0.517785,0.517785,0.517785
152,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan
153,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan,1.37251,nan
154,2.70589,nan,2.70589,nan,2.70589,nan,2.70589,nan,2.70589,nan,2.70589,nan,2.70589,nan,2.70589,nan
155,2.58623,nan,2.58623,nan,2.58623,nan,2.58623,nan,2.58623,nan,2.58623,nan,2.58623,nan,2.58623,nan
156,2.9965,nan,2.9965,nan,2.9965,nan,2.9965,nan,2.9965,nan,2.9965,nan,2.9965,nan,2.9965,nan
157,2.79137,nan,2.79137,nan,2.79137,nan,2.79137,nan,2.79137,nan,2.79137,nan,2.79137,nan,2.79137,nan
158,2.48366,nan,2.48366,nan,2.48366,nan,2.48366,nan,2.48366,nan,2.48366,nan,2.48366,nan,2.48366,nan
159,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,nan,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997,1.7485999999999997
160,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,nan,1.30414,-1.7222125767906733,1.30414,-1.7222125767906733,1.30414,-1.7222125767906733
161,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,nan,1.1161,1.1161,1.1161,1.1161,1.1161,1.1161
162,1.01353,nan,1.01353,nan,1.01353,nan,1.01353,nan,1.01353,nan,1.01353,nan,1.01353,nan,1.01353,nan
163,0.278461,nan,0.278461,nan,0.278461,nan,0.278461,nan,0.278461,nan,0.278461,nan,0.278461,nan,0.278461,nan
164,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan,0.210082,nan
165,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan,0.381028,nan
166,0.774204,nan,0.774204,nan,0.774204,nan,0.774204,0.774204,0.774204,0.774204,0.774204,0.774204,0.774204,0.774204,0.774204,0.774204
167,0.893866,nan,0.893866,nan,0.893866,nan,0.893866,-2.0489337847345683,0.893866,-2.0489337847345683,0.893866,-2.0489337847345683,0.893866,-2.0489337847345683,0.893866,-2.0489337847345683
168,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,nan,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995,-0.04633659999999995
169,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan,0.07332549999999999,nan
170,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan,0.432312,nan
171,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan,0.50069,nan
172,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan,0.466501,nan
173,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,nan,0.261366,0.261366
174,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,nan,0.039136400000000016,-2.8795838098945
175,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,nan,0.534879,0.534879
176,0.637447,nan,0.637447,nan,0.637447,nan,0.637447,nan,0.637447,nan,0.637447,nan,0.637447,nan,0.637447,nan
177,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan,1.35542,nan
178,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745,3.16745
