t,truth5,injected5,truth10,injected10,truth20,injected20,truth40,injected40,truth60,injected60,truth80,injected80,truth100,injected100,truth200,injected200
30,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
31,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
32,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,
33,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
34,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
35,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
36,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
37,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
38,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
39,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
40,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
41,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
42,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
43,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
44,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
45,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
46,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
47,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
48,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
49,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,
50,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
51,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
52,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,
53,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
54,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
55,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,
56,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,
57,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,
58,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,
59,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,
60,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,
61,11.4,,11.4,,11.4,,11.4,,11.4,,11.4,,11.4,,11.4,
62,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,
63,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,
64,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
65,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,,11.2,
66,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
67,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
68,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,,11.1,
69,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,,11.3,
70,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,
71,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,
72,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
73,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
74,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
75,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
76,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
77,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,
78,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
79,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,,11.0,
80,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,,10.9,
81,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,,10.8,
82,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
83,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
84,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
85,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
86,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
87,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
88,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
89,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,
90,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,,10.6,
91,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
92,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,,10.5,
93,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,
94,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
95,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
96,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,
97,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,
98,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,
99,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
100,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,
101,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,
102,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
103,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
104,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
105,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
106,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
107,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
108,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
109,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
110,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
111,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,
112,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,
113,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,
114,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
115,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
116,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
117,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
118,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
119,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
120,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,
121,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
122,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
123,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
124,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
125,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
126,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
127,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
128,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
129,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
130,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
131,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
132,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
133,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
134,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
135,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
136,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
137,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
138,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
139,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
140,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
141,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
142,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
143,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
144,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
145,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
146,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
147,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
148,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,
149,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
150,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
151,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,
152,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
153,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929,9.8,12.52380469520929
154,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709
155,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929,9.9,11.22380469520929
156,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071,9.6,8.27619530479071
157,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292,9.8,10.923804695209292
158,9.6,9.6,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709
159,9.5,,9.5,8.576195304790712,9.5,8.576195304790712,9.5,8.576195304790712,9.5,8.576195304790712,9.5,8.576195304790712,9.5,8.576195304790712,9.5,8.576195304790712
160,9.7,,9.7,10.823804695209287,9.7,10.823804695209287,9.7,10.823804695209287,9.7,10.823804695209287,9.7,10.823804695209287,9.7,10.823804695209287,9.7,10.823804695209287
161,9.8,,9.8,10.723804695209292,9.8,10.723804695209292,9.8,10.723804695209292,9.8,10.723804695209292,9.8,10.723804695209292,9.8,10.723804695209292,9.8,10.723804695209292
162,9.6,,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709,9.6,8.476195304790709
163,10.3,,10.3,10.3,10.3,12.423804695209292,10.3,12.423804695209292,10.3,12.423804695209292,10.3,12.423804695209292,10.3,12.423804695209292,10.3,12.423804695209292
164,10.2,,10.2,,10.2,9.276195304790708,10.2,9.276195304790708,10.2,9.276195304790708,10.2,9.276195304790708,10.2,9.276195304790708,10.2,9.276195304790708
165,10.1,,10.1,,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712
166,10.0,,10.0,,10.0,9.076195304790712,10.0,9.076195304790712,10.0,9.076195304790712,10.0,9.076195304790712,10.0,9.076195304790712,10.0,9.076195304790712
167,9.7,,9.7,,9.7,8.37619530479071,9.7,8.37619530479071,9.7,8.37619530479071,9.7,8.37619530479071,9.7,8.37619530479071,9.7,8.37619530479071
168,10.5,,10.5,,10.5,12.82380469520929,10.5,12.82380469520929,10.5,12.82380469520929,10.5,12.82380469520929,10.5,12.82380469520929,10.5,12.82380469520929
169,10.7,,10.7,,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287
170,9.9,,9.9,,9.9,7.576195304790714,9.9,7.576195304790714,9.9,7.576195304790714,9.9,7.576195304790714,9.9,7.576195304790714,9.9,7.576195304790714
171,10.1,,10.1,,10.1,11.223804695209287,10.1,11.223804695209287,10.1,11.223804695209287,10.1,11.223804695209287,10.1,11.223804695209287,10.1,11.223804695209287
172,9.3,,9.3,,9.3,6.976195304790714,9.3,6.976195304790714,9.3,6.976195304790714,9.3,6.976195304790714,9.3,6.976195304790714,9.3,6.976195304790714
173,9.3,,9.3,,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
174,10.4,,10.4,,10.4,,10.4,13.323804695209288,10.4,13.323804695209288,10.4,13.323804695209288,10.4,13.323804695209288,10.4,13.323804695209288
175,10.5,,10.5,,10.5,,10.5,11.423804695209288,10.5,11.423804695209288,10.5,11.423804695209288,10.5,11.423804695209288,10.5,11.423804695209288
176,10.1,,10.1,,10.1,,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071
177,10.1,,10.1,,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1
178,10.1,,10.1,,10.1,,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1
179,10.5,,10.5,,10.5,,10.5,12.02380469520929,10.5,12.02380469520929,10.5,12.02380469520929,10.5,12.02380469520929,10.5,12.02380469520929
180,10.1,,10.1,,10.1,,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071,10.1,8.57619530479071
181,10.9,,10.9,,10.9,,10.9,13.22380469520929,10.9,13.22380469520929,10.9,13.22380469520929,10.9,13.22380469520929,10.9,13.22380469520929
182,10.9,,10.9,,10.9,,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9
183,10.8,,10.8,,10.8,,10.8,9.876195304790713,10.8,9.876195304790713,10.8,9.876195304790713,10.8,9.876195304790713,10.8,9.876195304790713
184,10.2,,10.2,,10.2,,10.2,8.276195304790708,10.2,8.276195304790708,10.2,8.276195304790708,10.2,8.276195304790708,10.2,8.276195304790708
185,10.5,,10.5,,10.5,,10.5,11.82380469520929,10.5,11.82380469520929,10.5,11.82380469520929,10.5,11.82380469520929,10.5,11.82380469520929
186,10.7,,10.7,,10.7,,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287,10.7,11.823804695209287
187,10.6,,10.6,,10.6,,10.6,9.676195304790712,10.6,9.676195304790712,10.6,9.676195304790712,10.6,9.676195304790712,10.6,9.676195304790712
188,11.1,,11.1,,11.1,,11.1,12.823804695209288,11.1,12.823804695209288,11.1,12.823804695209288,11.1,12.823804695209288,11.1,12.823804695209288
189,10.7,,10.7,,10.7,,10.7,9.17619530479071,10.7,9.17619530479071,10.7,9.17619530479071,10.7,9.17619530479071,10.7,9.17619530479071
190,10.8,,10.8,,10.8,,10.8,11.723804695209292,10.8,11.723804695209292,10.8,11.723804695209292,10.8,11.723804695209292,10.8,11.723804695209292
191,10.3,,10.3,,10.3,,10.3,8.576195304790712,10.3,8.576195304790712,10.3,8.576195304790712,10.3,8.576195304790712,10.3,8.576195304790712
192,11.1,,11.1,,11.1,,11.1,13.423804695209286,11.1,13.423804695209286,11.1,13.423804695209286,11.1,13.423804695209286,11.1,13.423804695209286
193,11.3,,11.3,,11.3,,11.3,11.3,11.3,12.423804695209292,11.3,12.423804695209292,11.3,12.423804695209292,11.3,12.423804695209292
194,10.6,,10.6,,10.6,,10.6,,10.6,8.476195304790709,10.6,8.476195304790709,10.6,8.476195304790709,10.6,8.476195304790709
195,9.4,,9.4,,9.4,,9.4,,9.4,6.276195304790713,9.4,6.276195304790713,9.4,6.276195304790713,9.4,6.276195304790713
196,9.9,,9.9,,9.9,,9.9,,9.9,11.623804695209289,9.9,11.623804695209289,9.9,11.623804695209289,9.9,11.623804695209289
197,9.4,,9.4,,9.4,,9.4,,9.4,7.676195304790712,9.4,7.676195304790712,9.4,7.676195304790712,9.4,7.676195304790712
198,9.3,,9.3,,9.3,,9.3,,9.3,8.376195304790713,9.3,8.376195304790713,9.3,8.376195304790713,9.3,8.376195304790713
199,9.2,,9.2,,9.2,,9.2,,9.2,8.276195304790708,9.2,8.276195304790708,9.2,8.276195304790708,9.2,8.276195304790708
200,9.5,,9.5,,9.5,,9.5,,9.5,10.82380469520929,9.5,10.82380469520929,9.5,10.82380469520929,9.5,10.82380469520929
201,9.5,,9.5,,9.5,,9.5,,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
202,9.8,,9.8,,9.8,,9.8,,9.8,11.12380469520929,9.8,11.12380469520929,9.8,11.12380469520929,9.8,11.12380469520929
203,10.4,,10.4,,10.4,,10.4,,10.4,12.323804695209288,10.4,12.323804695209288,10.4,12.323804695209288,10.4,12.323804695209288
204,10.1,,10.1,,10.1,,10.1,,10.1,8.77619530479071,10.1,8.77619530479071,10.1,8.77619530479071,10.1,8.77619530479071
205,10.8,,10.8,,10.8,,10.8,,10.8,12.923804695209292,10.8,12.923804695209292,10.8,12.923804695209292,10.8,12.923804695209292
206,9.9,,9.9,,9.9,,9.9,,9.9,7.376195304790711,9.9,7.376195304790711,9.9,7.376195304790711,9.9,7.376195304790711
207,10.3,,10.3,,10.3,,10.3,,10.3,11.82380469520929,10.3,11.82380469520929,10.3,11.82380469520929,10.3,11.82380469520929
208,10.3,,10.3,,10.3,,10.3,,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
209,10.1,,10.1,,10.1,,10.1,,10.1,8.976195304790709,10.1,8.976195304790709,10.1,8.976195304790709,10.1,8.976195304790709
210,9.9,,9.9,,9.9,,9.9,,9.9,8.776195304790713,9.9,8.776195304790713,9.9,8.776195304790713,9.9,8.776195304790713
211,10.4,,10.4,,10.4,,10.4,,10.4,12.123804695209289,10.4,12.123804695209289,10.4,12.123804695209289,10.4,12.123804695209289
212,10.3,,10.3,,10.3,,10.3,,10.3,9.376195304790713,10.3,9.376195304790713,10.3,9.376195304790713,10.3,9.376195304790713
213,10.1,,10.1,,10.1,,10.1,,10.1,10.1,10.1,8.976195304790709,10.1,8.976195304790709,10.1,8.976195304790709
214,10.4,,10.4,,10.4,,10.4,,10.4,,10.4,11.72380469520929,10.4,11.72380469520929,10.4,11.72380469520929
215,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,9.376195304790713,10.3,9.376195304790713,10.3,9.376195304790713
216,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.376195304790711,9.9,8.376195304790711,9.9,8.376195304790711
217,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,8.876195304790713,9.8,8.876195304790713,9.8,8.876195304790713
218,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,8.776195304790708,9.7,8.776195304790708,9.7,8.776195304790708
219,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,11.023804695209291,9.9,11.023804695209291,9.9,11.023804695209291
220,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,9.9,9.9,9.9,9.9,9.9
221,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,9.9,9.9,9.9,9.9,9.9
222,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.523804695209286,10.2,11.523804695209286,10.2,11.523804695209286
223,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712
224,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.776195304790713,9.9,8.776195304790713,9.9,8.776195304790713
225,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,10.923804695209288,10.0,10.923804695209288,10.0,10.923804695209288
226,10.0,,10.0,,10.0,,10.0,,10.0,,10.0,10.0,10.0,10.0,10.0,10.0
227,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.323804695209287,10.2,11.323804695209287,10.2,11.323804695209287
228,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,9.176195304790712,10.1,9.176195304790712,10.1,9.176195304790712
229,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.123804695209287,10.2,11.123804695209287,10.2,11.123804695209287
230,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,11.223804695209292,10.3,11.223804695209292,10.3,11.223804695209292
231,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,10.3,10.3,10.3,10.3,10.3
232,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,,10.3,10.3,10.3,10.3
233,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,,10.1,8.976195304790709,10.1,8.976195304790709
234,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,,10.2,11.123804695209287,10.2,11.123804695209287
235,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,8.576195304790714,9.9,8.576195304790714
236,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,9.9,9.9,9.9
237,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,
238,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,9.9,9.9,9.9
239,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.27619530479071,9.6,8.27619530479071
240,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,8.276195304790713,9.4,8.276195304790713
241,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,11.32380469520929,9.8,11.32380469520929
242,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.476195304790709,9.6,8.476195304790709
243,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6,9.6,9.6
244,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,8.276195304790713,9.4,8.276195304790713
245,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,9.4,9.4,9.4
246,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,10.723804695209287,9.6,10.723804695209287
247,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6,9.6,9.6
248,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
249,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
250,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6,9.6,9.6
251,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.923804695209292,9.8,10.923804695209292
252,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8,9.8,9.8
253,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.476195304790709
254,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6
255,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,10.623804695209287
256,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,9.7
257,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,8.676195304790712
258,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6
259,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,
260,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,,9.6,9.6
261,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,10.623804695209287
262,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,10.723804695209292
263,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,9.8
264,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,,9.7,8.776195304790708
