t,truth0.5,injected0.5,truth1,injected1,truth2,injected2,truth3,injected3,truth4,injected4,truth5,injected5,truth10,injected10,truth20,injected20
111,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,
112,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,
113,6.048,,6.048,,6.048,,6.048,,6.048,,6.048,,6.048,,6.048,
114,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,
115,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,
116,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,
117,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,
118,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,
119,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,
120,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,
121,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,
122,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
123,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
124,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,
125,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,
126,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,
127,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,
128,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,
129,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,
130,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
131,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
132,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,
133,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,,6.031,
134,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,
135,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
136,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
137,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,,6.028,
138,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,
139,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,,6.027,
140,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,
141,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,
142,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,
143,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,,6.026,
144,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,
145,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,
146,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,
147,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,,6.023,
148,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,,6.022,
149,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,,6.021,
150,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,,6.024,
151,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,,6.02,
152,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,
153,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,
154,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,
155,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,,6.016,
156,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,
157,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,,6.015,
158,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,,6.014,
159,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,,6.013,
160,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,
161,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,,6.012,
162,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011,6.011
163,6.009,5.9392834875880824,6.009,5.869566975176164,6.009,5.730133950352327,6.009,5.590700925528491,6.009,5.4512679007046545,6.009,5.311834875880818,6.009,4.614669751761635,6.009,3.2203395035232703
164,6.01,5.940283487588082,6.01,5.870566975176163,6.01,5.731133950352326,6.01,5.591700925528491,6.01,5.452267900704654,6.01,5.312834875880817,6.01,4.615669751761635,6.01,3.2213395035232693
165,6.01,5.940283487588082,6.01,5.870566975176163,6.01,5.731133950352326,6.01,5.591700925528491,6.01,5.452267900704654,6.01,5.312834875880817,6.01,4.615669751761635,6.01,3.2213395035232693
166,6.011,5.941283487588082,6.011,5.871566975176163,6.011,5.732133950352327,6.011,5.592700925528491,6.011,5.453267900704654,6.011,5.313834875880818,6.011,4.616669751761635,6.011,3.2223395035232696
167,6.012,5.942283487588082,6.012,5.872566975176163,6.012,5.733133950352326,6.012,5.59370092552849,6.012,5.454267900704654,6.012,5.314834875880817,6.012,4.6176697517616345,6.012,3.223339503523269
168,6.011,5.941283487588082,6.011,5.871566975176163,6.011,5.732133950352327,6.011,5.592700925528491,6.011,5.453267900704654,6.011,5.313834875880818,6.011,4.616669751761635,6.011,3.2223395035232696
169,6.013,5.943283487588082,6.013,5.873566975176163,6.013,5.7341339503523265,6.013,5.594700925528491,6.013,5.455267900704654,6.013,5.315834875880817,6.013,4.618669751761635,6.013,3.22433950352327
170,6.013,5.943283487588082,6.013,5.873566975176163,6.013,5.7341339503523265,6.013,5.594700925528491,6.013,5.455267900704654,6.013,5.315834875880817,6.013,4.618669751761635,6.013,3.22433950352327
171,6.015,5.945283487588082,6.015,5.875566975176163,6.015,5.736133950352326,6.015,5.59670092552849,6.015,5.457267900704654,6.015,5.317834875880817,6.015,4.620669751761635,6.015,3.226339503523269
172,6.016,5.946283487588082,6.016,5.876566975176163,6.016,5.737133950352327,6.016,5.597700925528491,6.016,5.458267900704654,6.016,5.3188348758808175,6.016,4.621669751761635,6.016,3.2273395035232695
173,6.02,5.950283487588082,6.02,5.880566975176163,6.02,5.741133950352326,6.02,5.60170092552849,6.02,5.462267900704654,6.02,5.322834875880817,6.02,4.6256697517616345,6.02,3.231339503523269
174,6.023,5.953283487588082,6.023,5.883566975176163,6.023,5.744133950352326,6.023,5.6047009255284905,6.023,5.465267900704654,6.023,5.325834875880817,6.023,4.628669751761635,6.023,3.2343395035232696
175,6.024,5.954283487588082,6.024,5.884566975176163,6.024,5.745133950352327,6.024,5.605700925528491,6.024,5.466267900704654,6.024,5.3268348758808175,6.024,4.629669751761635,6.024,3.23533950352327
176,6.027,5.957283487588082,6.027,5.8875669751761635,6.027,5.748133950352327,6.027,5.608700925528491,6.027,5.469267900704654,6.027,5.329834875880818,6.027,4.632669751761635,6.027,3.2383395035232696
177,6.033,5.9632834875880825,6.033,5.893566975176164,6.033,5.754133950352327,6.033,5.614700925528491,6.033,5.4752679007046545,6.033,5.335834875880818,6.033,4.638669751761635,6.033,3.2443395035232703
178,6.038,5.968283487588082,6.038,5.898566975176164,6.038,5.759133950352327,6.038,5.619700925528491,6.038,5.480267900704654,6.038,5.340834875880818,6.038,4.643669751761635,6.038,3.24933950352327
179,6.042,5.972283487588082,6.042,5.902566975176163,6.042,5.7631339503523265,6.042,5.623700925528491,6.042,5.484267900704654,6.042,5.344834875880817,6.042,4.647669751761635,6.042,3.2533395035232697
180,6.048,5.978283487588082,6.048,5.908566975176163,6.048,5.769133950352327,6.048,5.629700925528491,6.048,5.490267900704654,6.048,5.3508348758808175,6.048,4.653669751761635,6.048,3.25933950352327
181,6.052,5.982283487588082,6.052,5.912566975176163,6.052,5.773133950352326,6.052,5.6337009255284904,6.052,5.494267900704654,6.052,5.354834875880817,6.052,4.657669751761635,6.052,3.2633395035232695
182,6.057,5.9872834875880825,6.057,5.917566975176164,6.057,5.778133950352327,6.057,5.638700925528491,6.057,5.4992679007046545,6.057,5.359834875880818,6.057,4.662669751761635,6.057,3.2683395035232703
183,6.063,5.993283487588082,6.063,5.923566975176163,6.063,5.784133950352326,6.063,5.644700925528491,6.063,5.505267900704654,6.063,5.365834875880817,6.063,4.668669751761635,6.063,3.2743395035232696
184,6.069,5.999283487588082,6.069,5.929566975176163,6.069,5.790133950352327,6.069,5.650700925528491,6.069,5.511267900704654,6.069,5.371834875880817,6.069,4.674669751761635,6.069,3.2803395035232694
185,6.077,6.007283487588082,6.077,5.937566975176163,6.077,5.798133950352327,6.077,5.658700925528491,6.077,5.519267900704654,6.077,5.379834875880817,6.077,4.682669751761635,6.077,3.28833950352327
186,6.083,6.013283487588082,6.083,5.9435669751761635,6.083,5.804133950352327,6.083,5.664700925528491,6.083,5.525267900704654,6.083,5.385834875880818,6.083,4.688669751761635,6.083,3.29433950352327
187,6.086,6.016283487588082,6.086,5.946566975176164,6.086,5.807133950352327,6.086,5.667700925528491,6.086,5.5282679007046545,6.086,5.388834875880818,6.086,4.691669751761635,6.086,3.2973395035232698
188,6.092,6.022283487588082,6.092,5.952566975176163,6.092,5.813133950352326,6.092,5.6737009255284905,6.092,5.534267900704654,6.092,5.394834875880817,6.092,4.697669751761635,6.092,3.3033395035232695
189,6.097,6.0272834875880825,6.097,5.957566975176164,6.097,5.818133950352327,6.097,5.678700925528491,6.097,5.539267900704655,6.097,5.399834875880818,6.097,4.702669751761635,6.097,3.3083395035232703
190,6.102,6.032283487588082,6.102,5.962566975176164,6.102,5.823133950352327,6.102,5.683700925528491,6.102,5.5442679007046545,6.102,5.404834875880818,6.102,4.707669751761635,6.102,3.3133395035232702
191,6.106,6.036283487588082,6.106,5.966566975176163,6.106,5.8271339503523265,6.106,5.687700925528491,6.106,5.548267900704654,6.106,5.408834875880817,6.106,4.711669751761635,6.106,3.31733950352327
192,6.11,6.040283487588082,6.11,5.970566975176164,6.11,5.831133950352327,6.11,5.691700925528491,6.11,5.5522679007046545,6.11,5.412834875880818,6.11,4.715669751761635,6.11,3.32133950352327
193,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113,6.113
194,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,
195,6.119,,6.119,,6.119,,6.119,,6.119,,6.119,,6.119,,6.119,
196,6.121,,6.121,,6.121,,6.121,,6.121,,6.121,,6.121,,6.121,
197,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,
198,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,
199,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,
200,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,
201,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,
202,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,
203,6.129,,6.129,,6.129,,6.129,,6.129,,6.129,,6.129,,6.129,
204,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,,6.128,
205,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,
206,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,,6.127,
207,6.126,,6.126,,6.126,,6.126,,6.126,,6.126,,6.126,,6.126,
208,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,,6.125,
209,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,,6.124,
210,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,,6.123,
211,6.122,,6.122,,6.122,,6.122,,6.122,,6.122,,6.122,,6.122,
212,6.12,,6.12,,6.12,,6.12,,6.12,,6.12,,6.12,,6.12,
213,6.118,,6.118,,6.118,,6.118,,6.118,,6.118,,6.118,,6.118,
214,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,,6.116,
215,6.115,,6.115,,6.115,,6.115,,6.115,,6.115,,6.115,,6.115,
216,6.113,,6.113,,6.113,,6.113,,6.113,,6.113,,6.113,,6.113,
217,6.112,,6.112,,6.112,,6.112,,6.112,,6.112,,6.112,,6.112,
218,6.109,,6.109,,6.109,,6.109,,6.109,,6.109,,6.109,,6.109,
219,6.107,,6.107,,6.107,,6.107,,6.107,,6.107,,6.107,,6.107,
220,6.105,,6.105,,6.105,,6.105,,6.105,,6.105,,6.105,,6.105,
221,6.103,,6.103,,6.103,,6.103,,6.103,,6.103,,6.103,,6.103,
222,6.101,,6.101,,6.101,,6.101,,6.101,,6.101,,6.101,,6.101,
223,6.1,,6.1,,6.1,,6.1,,6.1,,6.1,,6.1,,6.1,
224,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,,6.098,
225,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,,6.097,
226,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,,6.095,
227,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,,6.094,
228,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,,6.081,
229,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,,6.08,
230,6.078,,6.078,,6.078,,6.078,,6.078,,6.078,,6.078,,6.078,
231,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,,6.077,
232,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,,6.075,
233,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,,6.074,
234,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,,6.073,
235,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,,6.071,
236,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,,6.07,
237,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,,6.069,
238,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,,6.068,
239,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,,6.067,
240,6.066,,6.066,,6.066,,6.066,,6.066,,6.066,,6.066,,6.066,
241,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,,6.065,
242,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,,6.064,
243,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,,6.063,
244,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,,6.061,
245,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,,6.06,
246,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,,6.059,
247,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,,6.058,
248,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,,6.057,
249,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,,6.056,
250,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,,6.055,
251,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,,6.054,
252,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,,6.052,
253,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,
254,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,,6.051,
255,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,
256,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,,6.05,
257,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,,6.049,
258,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,
259,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,,6.047,
260,6.046,,6.046,,6.046,,6.046,,6.046,,6.046,,6.046,,6.046,
261,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,,6.045,
262,6.044,,6.044,,6.044,,6.044,,6.044,,6.044,,6.044,,6.044,
263,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,,6.043,
264,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,
265,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,,6.042,
266,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,,6.041,
267,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,,6.04,
268,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,
269,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,,6.039,
270,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,
271,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,,6.038,
272,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,,6.037,
273,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,
274,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,
275,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,,6.036,
276,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,,6.035,
277,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,
278,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,,6.034,
279,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
280,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,,6.033,
281,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,,6.03,
282,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,,6.025,
283,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
284,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,,6.032,
285,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,,6.029,
286,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,,6.011,
